KSHKOD,"TELNEV","TELNEV CLEAR",POP,SIZE_km2,latitude,longitude,SUBREG,SUBREGCENT,COUNTYCODE,COUNTYCENT,TOWN,REGION,UNIV
410,"Dusnok","Dusnok",2873,5747,46.38034,18.95968,3303,0,3,0,0,7,0
2921,"Baj","Baj",2870,2113,47.650872,18.364776,4106,0,11,0,0,2,0
2418,"Gencsapáti","Gencsapati",2869,2239,47.285505,16.59557,4808,0,18,0,0,3,0
2792,"Ópályi","Opalyi",2847,2672,47.99534,22.32577,4505,0,15,0,0,6,0
1218,"Pátroha","Patroha",2839,3923,48.17175,21.99075,4504,0,15,0,0,6,0
1186,"Érsekcsanád","Ersekcsanad",2828,5829,46.253125,18.978825,3301,0,3,0,0,7,0
1994,"Szalkszentmárton","Szalkszentmarton",2827,8208,46.976965,19.01009,3309,0,3,0,0,7,0
655,"Bölcske","Bolcske",2825,5878,46.738461,18.96875,4703,0,17,0,0,4,0
2174,"Tarcal","Tarcal",2824,5372,48.128967,21.345283,3515,0,5,0,0,5,0
3282,"Bugac","Bugac",2809,13111,46.688,19.684882,3306,0,3,0,0,7,0
1560,"Gesztely","Gesztely",2798,2882,48.106484,20.962953,3501,0,5,0,0,5,0
713,"Cserszegtomaj","Cserszegtomaj",2797,1260,46.806075,17.231515,5007,0,20,0,0,3,0
674,"Diósjenõ","Diosjeno",2784,5750,47.930355,19.044215,4204,0,12,0,0,5,0
350,"Sajóbábony","Sajobabony",2782,1343,48.176375,20.74088,3501,0,5,0,1,5,0
629,"Újhartyán","Ujhartyan",2780,2243,47.220805,19.38295,4303,0,13,0,0,1,0
744,"Kocsord","Kocsord",2769,2547,47.939905,22.387185,4505,0,15,0,0,6,0
858,"Baracska","Baracska",2766,3968,47.286355,18.761555,3710,0,7,0,0,2,0
1780,"Újszilvás","Ujszilvas",2759,3898,47.265155,19.91182,4302,0,13,0,0,1,0
2229,"Csanytelek","Csanytelek",2755,3471,46.598065,20.115135,3601,0,6,0,0,7,0
530,"Bõcs","Bocs",2754,2432,48.044131,20.956752,3501,0,5,0,0,5,0
3368,"Petõfibánya","Petofibanya",2754,1111,47.76634,19.70041,4005,0,10,0,0,5,0
2874,"Sellye","Sellye",2752,2518,45.872135,17.847675,3204,1,2,0,1,4,0
2394,"Sárrétudvari","Sarretudvari",2751,5442,47.240475,21.18741,3907,0,9,0,0,6,0
947,"Nagyhegyes","Nagyhegyes",2750,13276,47.5392,21.34584,3905,0,9,0,0,6,0
554,"Zákányszék","Zakanyszek",2743,6607,46.274555,19.88728,3605,0,6,0,0,7,0
1580,"Nyírbéltek","Nyirbeltek",2741,6217,47.699075,22.127435,4507,0,15,0,0,6,0
1798,"Andornaktálya","Andornaktalya",2740,1675,47.84145,20.41351,4001,0,10,0,0,5,0
3223,"Kakucs","Kakucs",2737,2180,47.24116,19.36527,4303,0,13,0,0,1,0
477,"Szakoly","Szakoly",2735,4144,47.761581,21.90417,4506,0,15,0,0,6,0
2482,"Biharnagybajom","Biharnagybajom",2731,6135,47.21292,21.237595,3907,0,9,0,0,6,0
3420,"Kulcs","Kulcs",2728,1673,47.052814,18.918478,3709,0,7,0,0,2,0
2176,"Megyaszó","Megyaszo",2722,5342,48.187245,21.05424,3509,0,5,0,0,5,0
2219,"Poroszló","Poroszlo",2715,10904,47.642845,20.65134,4003,0,10,0,0,5,0
2690,"Sárisáp","Sarisap",2708,1425,47.674925,18.680917,4101,0,11,0,0,2,0
1127,"Nyírlugos","Nyirlugos",2701,5838,47.69086,22.033925,4507,0,15,0,1,6,0
3132,"Szabadkígyós","Szabadkigyos",2696,4556,46.60519,21.088818,3401,0,4,0,0,7,0
2324,"Adács","Adacs",2690,3794,47.69067,19.974895,4004,0,10,0,0,5,0
2864,"Úri","Uri",2685,2219,47.41251,19.522077,4306,0,13,0,0,1,0
393,"Cigánd","Cigand",2682,5676,48.26408,21.891655,3513,1,5,0,1,5,0
1893,"Tarján","Tarjan",2677,4307,47.61363,18.511725,4107,0,11,0,0,2,0
792,"Szentgál","Szentgal",2676,9502,47.111518,17.734508,4908,0,19,0,0,2,0
2721,"Ostoros","Ostoros",2670,2351,47.86539,20.432745,4001,0,10,0,0,5,0
1911,"Lovasberény","Lovasbereny",2669,6062,47.3058,18.55891,3707,0,7,0,0,2,0
2957,"Kesztölc","Kesztolc",2668,2200,47.712009,18.79718,4101,0,11,0,0,2,0
1100,"Jászkarajenõ","Jaszkarajeno",2662,6515,47.05387,20.06638,4302,0,13,0,0,1,0
960,"Recsk","Recsk",2656,4537,47.935296,20.107965,4006,0,10,0,0,5,0
1828,"Kisköre","Kiskore",2653,6842,47.495789,20.496189,4002,0,10,0,1,5,0
2768,"Kosd","Kosd",2635,3408,47.80126,19.17676,4309,0,13,0,0,1,0
1792,"Jakabszállás","Jakabszallas",2631,7086,46.761495,19.600005,3304,0,3,0,0,7,0
1018,"Bácsbokod","Bacsbokod",2619,6393,46.12456,19.15849,3301,0,3,0,0,7,0
1838,"Nagydorog","Nagydorog",2618,4144,46.626214,18.656547,4703,0,17,0,0,4,0
2045,"Csanádapáca","Csanadapaca",2617,5130,46.54324,20.8865,3403,0,4,0,0,7,0
3204,"Táplánszentkereszt","Taplanszentkereszt",2617,2008,47.194204,16.696543,4808,0,18,0,0,3,0
940,"Tápióság","Tapiosag",2615,3354,47.40143,19.62532,4306,0,13,0,0,1,0
1126,"Kóny","Kony",2613,2888,47.630725,17.36156,3801,0,8,0,0,3,0
2104,"Karancslapujtõ","Karancslapujto",2595,1935,48.154097,19.734167,4205,0,12,0,0,5,0
